param assign:
    1  2  3  4   5  6  7  8 9 10 11 12=
1   22 12 18 19 22 21 17 20 16 15 21 24
2   19 22 19 21 22 24 18 17 21 19 22 23
3   18 23 20 20 21 22 19 18 20 23 19 19
4   23 21 20 18 17 19 24 16 18 16 20 24
5   18 17 16 19 24 21 23 21 20 21 22 21
6   22 20 17 16 20 23 22 25 24 19 17 20
7   23 18 17 15 22 24 23 20 22 19 23 20
8   21 22 21 23 18 17 16 19 24 21 20 23
9   24 20 17 18 16 24 19 17 18 20 21 23
10  20 22 21 24 20 23 19 18 23 24 25 20
11  19 24 22 20 23 19 18 16 22 24 21 24
12  22 23 24 20 21 20 20 19 17 19 20 22
